Kingdom,Phylum,Class,Order,Family,Genus,Species
Eukaryota,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) tonsa
Eukaryota,Arthropoda,Thecostraca,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite
Eukaryota,Arthropoda,Thecostraca,Sessilia,Balanidae,Amphibalanus,Amphibalanus eburneus
Eukaryota,Arthropoda,Thecostraca,Sessilia,Balanidae,Amphibalanus,Amphibalanus improvisus
Eukaryota,Arthropoda,Thecostraca,Sessilia,Balanidae,Amphibalanus,Amphibalanus sp.
Eukaryota,Annelida,Sipuncula,Phascolosomatida,Phascolosomatidae,Apionsoma,Apionsoma (Apionsoma) misakianum
Eukaryota,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,Arcuatula senhousia
Eukaryota,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Ascidiella aspersa
Eukaryota,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis armata
Eukaryota,Florideophyceae,Bonnemaisoniales,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis
Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia solida
Eukaryota,Arthropoda,Thecostraca,Sessilia,Archaeobalanidae,Austrominius,Austrominius modestus
Eukaryota,Arthropoda,Thecostraca,Sessilia,Balanidae,Balanus,Balanus trigonus
Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Boccardia,Boccardia proboscidea
Eukaryota,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,Bonnemaisonia hamifera
Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula neritina
Eukaryota,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Caprella mutica
Eukaryota,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Caprella scaura
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,Celleporaria brunnea
Eukaryota,Nemertea,Palaeonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,Cephalothrix simula
Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae,Cordylophora,Cordylophora caspia
Eukaryota,Urochordata,Ascidiacea,Phlebobranchia,Corellidea,Corella,Corella eumyota
Eukaryota,Urochordata,Ascidiacea,Phlebobranchia,Corellidea,Corella,Corella sp.
Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Crepidula fornicata
Eukaryota,Ochrophyta,Phaeophyceae,Tilopteridales,Cutleriaceae,Cutleria,Cutleria multifida
Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasysiphonia,Dasysiphonia japonica
Eukaryota,Mollusca,Bivalvia,Heteroconchia,Veneroida,Dreissena,Dreisseninae sp.
Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Lovenellidae,Eucheilota,Eucheilota menoni
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Fenestrulinidae,Fenestrulina,Fenestrulina delicia
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales ,Vacuolariaceae ,Fibrocapsa,Fibrocapsa japonica
Eukaryota,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,Ficopomatus enigmaticus
Eukaryota,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Gonionemus,Gonionemus vertens
Eukaryota,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,Haloa japonica
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Halothrix,Halothrix lumbricalis
Eukaryota,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus takanoi
Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Herdmania,Herdmania momus
Eukaryota,Annelida,Polychaeta,Sabellida ,Serpulidae ,Hydroides,Hydroides elegans
Eukaryota,Mollusca,Bivalvia,Ostreida,Malleidae,Malleus,Malleus sp.
Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,Marenzelleria sp.
Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Mawia,Mawia benovici
Eukaryota,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium sextonae
Eukaryota,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Neogobius,Neogobius melanostomus
Eukaryota,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona davisae
Eukaryota,Dinophyceae,Gonyaulacales,Pyrocystaceae,Pyrocystaceae,Ostreopsis,Ostreopsis ovata
Eukaryota,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,Palaemon elegans
Eukaryota,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Paracerceis,Paracerceis sculpta
Eukaryota,Arthropoda,Malacostraca,Isopoda,Paranthuridae,Paranthura,Paranthura japonica
Eukaryota,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,Perophora,Perophora japonica
Eukaryota,Mollusca,Bivalvia,Venerida,Veneridae,Petricolaria,Petricolaria pholadiformis
Eukaryota,Bacillariophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Pleurosira,Pleurosira laevis
Eukaryota,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Polycerella,Polycerella emertoni
Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta
Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Potamopyrgus antipodarum
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella japonica
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Smittoidea,Smittoidea prolifica
Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,Streblospio benedicti
Eukaryota,Arthropoda,Hexapoda,Diptera,Chironomidae,Telmatogeton,Telmatogeton japonicus
Eukaryota,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Torquigener,Torquigener flavimaculosus
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora sp._1
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora sp._2
Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora sp._3
Eukaryota,Mollusca,Bivalvia,Mytilida,Mytilidae,Xenostrobus,Xenostrobus securis
